Cuvant,Locatii
thirsty,"(Linia 1010, Pozitia 2), (Linia 1016, Pozitia 3), (Linia 1062, Pozitia 3)"
thirty,"(Linia 1131, Pozitia 14)"
thirtyone,"(Linia 552, Pozitia 1), (Linia 553, Pozitia 3), (Linia 577, Pozitia 1)"
thought,"(Linia 22, Pozitia 3), (Linia 78, Pozitia 9)"
this,"(Linia 284, Pozitia 13), (Linia 324, Pozitia 6), (Linia 398, Pozitia 8), (Linia 400, Pozitia 15), (Linia 471, Pozitia 5), (Linia 527, Pozitia 4), (Linia 560, Pozitia 10), (Linia 608, Pozitia 18), (Linia 626, Pozitia 2), (Linia 657, Pozitia 10), (Linia 678, Pozitia 14), (Linia 687, Pozitia 4), (Linia 706, Pozitia 3), (Linia 709, Pozitia 3), (Linia 731, Pozitia 3), (Linia 761, Pozitia 14), (Linia 780, Pozitia 15), (Linia 810, Pozitia 8), (Linia 831, Pozitia 6), (Linia 890, Pozitia 5), (Linia 958, Pozitia 4), (Linia 1028, Pozitia 7), (Linia 1041, Pozitia 2), (Linia 1057, Pozitia 9), (Linia 1077, Pozitia 2), (Linia 1081, Pozitia 15), (Linia 1160, Pozitia 6), (Linia 1178, Pozitia 10), (Linia 1202, Pozitia 2), (Linia 1241, Pozitia 14), (Linia 1265, Pozitia 4)"
thorns,"(Linia 270, Pozitia 5), (Linia 271, Pozitia 7), (Linia 272, Pozitia 3), (Linia 283, Pozitia 11), (Linia 304, Pozitia 7), (Linia 306, Pozitia 2), (Linia 349, Pozitia 5), (Linia 408, Pozitia 7), (Linia 746, Pozitia 14), (Linia 1232, Pozitia 4)"
those,"(Linia 178, Pozitia 9), (Linia 762, Pozitia 3), (Linia 766, Pozitia 2), (Linia 766, Pozitia 8), (Linia 766, Pozitia 13), (Linia 773, Pozitia 18), (Linia 1037, Pozitia 16), (Linia 1131, Pozitia 7)"
thou,"(Linia 462, Pozitia 6)"
thought,"(Linia 191, Pozitia 11), (Linia 389, Pozitia 1), (Linia 595, Pozitia 8), (Linia 599, Pozitia 12), (Linia 612, Pozitia 3), (Linia 746, Pozitia 5), (Linia 839, Pozitia 6), (Linia 857, Pozitia 8), (Linia 1009, Pozitia 9), (Linia 1052, Pozitia 3)"
thousand,"(Linia 52, Pozitia 11), (Linia 65, Pozitia 1), (Linia 67, Pozitia 15), (Linia 73, Pozitia 3), (Linia 168, Pozitia 1), (Linia 552, Pozitia 12), (Linia 576, Pozitia 11), (Linia 679, Pozitia 6), (Linia 755, Pozitia 8), (Linia 756, Pozitia 1), (Linia 760, Pozitia 4), (Linia 853, Pozitia 7), (Linia 880, Pozitia 17), (Linia 882, Pozitia 2), (Linia 942, Pozitia 1), (Linia 965, Pozitia 10), (Linia 1069, Pozitia 12), (Linia 1101, Pozitia 4)"
threatened,"(Linia 743, Pozitia 6), (Linia 744, Pozitia 5)"
three,"(Linia 235, Pozitia 1), (Linia 362, Pozitia 10), (Linia 405, Pozitia 6), (Linia 550, Pozitia 13), (Linia 560, Pozitia 17), (Linia 614, Pozitia 15), (Linia 664, Pozitia 12), (Linia 727, Pozitia 1), (Linia 756, Pozitia 9), (Linia 817, Pozitia 15), (Linia 830, Pozitia 2), (Linia 858, Pozitia 8), (Linia 917, Pozitia 9), (Linia 948, Pozitia 9)"
tiny,"(Linia 102, Pozitia 10)"
through,"(Linia 192, Pozitia 12)"
threw,"(Linia 281, Pozitia 6)"
throne,"(Linia 415, Pozitia 5)"
thundering,"(Linia 967, Pozitia 5)"
through,"(Linia 843, Pozitia 14), (Linia 1132, Pozitia 2)"
throw,"(Linia 462, Pozitia 12)"
thunder,"(Linia 975, Pozitia 4)"
ties,"(Linia 45, Pozitia 6)"
thus,"(Linia 1044, Pozitia 3)"
thy,"(Linia 462, Pozitia 8)"
tie,"(Linia 132, Pozitia 17), (Linia 136, Pozitia 6), (Linia 1248, Pozitia 10)"
time,"(Linia 107, Pozitia 6), (Linia 109, Pozitia 17), (Linia 124, Pozitia 12), (Linia 159, Pozitia 11), (Linia 177, Pozitia 4), (Linia 198, Pozitia 2), (Linia 240, Pozitia 9), (Linia 341, Pozitia 16), (Linia 344, Pozitia 2)"
tigers,"(Linia 350, Pozitia 5), (Linia 351, Pozitia 4), (Linia 351, Pozitia 15), (Linia 355, Pozitia 6)"
tight,"(Linia 81, Pozitia 6), (Linia 273, Pozitia 15), (Linia 775, Pozitia 10), (Linia 1091, Pozitia 11), (Linia 1128, Pozitia 5)"
time,"(Linia 390, Pozitia 14), (Linia 490, Pozitia 18), (Linia 491, Pozitia 1), (Linia 491, Pozitia 16), (Linia 551, Pozitia 6), (Linia 561, Pozitia 4), (Linia 563, Pozitia 1), (Linia 563, Pozitia 17), (Linia 564, Pozitia 6), (Linia 572, Pozitia 1), (Linia 646, Pozitia 4), (Linia 780, Pozitia 13), (Linia 800, Pozitia 10), (Linia 843, Pozitia 12), (Linia 904, Pozitia 14), (Linia 906, Pozitia 12), (Linia 908, Pozitia 16), (Linia 918, Pozitia 2), (Linia 920, Pozitia 3), (Linia 925, Pozitia 9), (Linia 956, Pozitia 4), (Linia 957, Pozitia 3), (Linia 979, Pozitia 15), (Linia 988, Pozitia 6), (Linia 1127, Pozitia 17), (Linia 1134, Pozitia 16), (Linia 1155, Pozitia 5)"
times,"(Linia 259, Pozitia 10), (Linia 262, Pozitia 7), (Linia 362, Pozitia 11), (Linia 561, Pozitia 1), (Linia 681, Pozitia 8)"
timidly,"(Linia 219, Pozitia 10), (Linia 437, Pozitia 10)"
tiring,"(Linia 34, Pozitia 9)"
tiny,"(Linia 440, Pozitia 10)"
tired,"(Linia 422, Pozitia 10), (Linia 519, Pozitia 10), (Linia 1021, Pozitia 3)"
tires,"(Linia 482, Pozitia 9)"
told,"(Linia 75, Pozitia 6)"
to,"(Linia 7, Pozitia 3), (Linia 7, Pozitia 10), (Linia 10, Pozitia 14), (Linia 11, Pozitia 13), (Linia 24, Pozitia 5), (Linia 30, Pozitia 5), (Linia 31, Pozitia 6), (Linia 34, Pozitia 12), (Linia 34, Pozitia 15), (Linia 36, Pozitia 4), (Linia 36, Pozitia 10), (Linia 37, Pozitia 11), (Linia 41, Pozitia 7), (Linia 42, Pozitia 9), (Linia 42, Pozitia 15), (Linia 43, Pozitia 13), (Linia 45, Pozitia 12), (Linia 48, Pozitia 8), (Linia 48, Pozitia 10), (Linia 50, Pozitia 6), (Linia 50, Pozitia 10), (Linia 51, Pozitia 11), (Linia 60, Pozitia 5), (Linia 63, Pozitia 3), (Linia 65, Pozitia 12), (Linia 68, Pozitia 11), (Linia 70, Pozitia 4), (Linia 72, Pozitia 11), (Linia 72, Pozitia 18), (Linia 76, Pozitia 3), (Linia 79, Pozitia 12), (Linia 94, Pozitia 10), (Linia 98, Pozitia 6), (Linia 99, Pozitia 13), (Linia 107, Pozitia 7), (Linia 108, Pozitia 5), (Linia 109, Pozitia 6), (Linia 113, Pozitia 5), (Linia 118, Pozitia 2), (Linia 127, Pozitia 3), (Linia 128, Pozitia 17), (Linia 132, Pozitia 16), (Linia 134, Pozitia 4), (Linia 138, Pozitia 8), (Linia 152, Pozitia 5), (Linia 158, Pozitia 6), (Linia 165, Pozitia 13), (Linia 167, Pozitia 9), (Linia 169, Pozitia 5), (Linia 176, Pozitia 1), (Linia 176, Pozitia 12), (Linia 180, Pozitia 6), (Linia 180, Pozitia 15), (Linia 181, Pozitia 15), (Linia 182, Pozitia 3), (Linia 182, Pozitia 8), (Linia 184, Pozitia 8), (Linia 184, Pozitia 11), (Linia 186, Pozitia 7), (Linia 187, Pozitia 4), (Linia 191, Pozitia 1), (Linia 192, Pozitia 8), (Linia 198, Pozitia 7), (Linia 206, Pozitia 3), (Linia 208, Pozitia 5), (Linia 213, Pozitia 12), (Linia 215, Pozitia 2), (Linia 215, Pozitia 4), (Linia 218, Pozitia 18), (Linia 221, Pozitia 11), (Linia 222, Pozitia 1), (Linia 228, Pozitia 5), (Linia 228, Pozitia 16), (Linia 229, Pozitia 13), (Linia 231, Pozitia 7), (Linia 231, Pozitia 10), (Linia 231, Pozitia 16), (Linia 232, Pozitia 16), (Linia 233, Pozitia 7), (Linia 236, Pozitia 17), (Linia 238, Pozitia 15), (Linia 239, Pozitia 7), (Linia 239, Pozitia 12), (Linia 248, Pozitia 9), (Linia 250, Pozitia 5), (Linia 253, Pozitia 16), (Linia 256, Pozitia 5), (Linia 256, Pozitia 8), (Linia 256, Pozitia 10), (Linia 256, Pozitia 15), (Linia 258, Pozitia 1), (Linia 265, Pozitia 6), (Linia 266, Pozitia 2), (Linia 273, Pozitia 11), (Linia 274, Pozitia 9), (Linia 284, Pozitia 10), (Linia 292, Pozitia 8), (Linia 305, Pozitia 7), (Linia 305, Pozitia 9), (Linia 305, Pozitia 18), (Linia 313, Pozitia 4), (Linia 313, Pozitia 14), (Linia 318, Pozitia 9), (Linia 319, Pozitia 2), (Linia 319, Pozitia 18), (Linia 320, Pozitia 18), (Linia 321, Pozitia 7), (Linia 321, Pozitia 11), (Linia 329, Pozitia 18), (Linia 330, Pozitia 4), (Linia 332, Pozitia 4), (Linia 333, Pozitia 17), (Linia 334, Pozitia 10), (Linia 344, Pozitia 16), (Linia 349, Pozitia 9), (Linia 361, Pozitia 10), (Linia 362, Pozitia 12), (Linia 365, Pozitia 5), (Linia 365, Pozitia 12), (Linia 366, Pozitia 7), (Linia 369, Pozitia 6), (Linia 369, Pozitia 10), (Linia 369, Pozitia 18), (Linia 370, Pozitia 4), (Linia 373, Pozitia 4), (Linia 377, Pozitia 2), (Linia 377, Pozitia 5), (Linia 382, Pozitia 12), (Linia 386, Pozitia 10), (Linia 389, Pozitia 6), (Linia 389, Pozitia 15), (Linia 391, Pozitia 2), (Linia 391, Pozitia 12), (Linia 392, Pozitia 4), (Linia 396, Pozitia 14), (Linia 400, Pozitia 10), (Linia 405, Pozitia 11), (Linia 409, Pozitia 10), (Linia 410, Pozitia 7), (Linia 413, Pozitia 4), (Linia 413, Pozitia 10), (Linia 420, Pozitia 14), (Linia 421, Pozitia 6), (Linia 423, Pozitia 4), (Linia 427, Pozitia 8), (Linia 430, Pozitia 13), (Linia 430, Pozitia 17), (Linia 435, Pozitia 11), (Linia 438, Pozitia 4), (Linia 441, Pozitia 8), (Linia 442, Pozitia 4), (Linia 446, Pozitia 8), (Linia 456, Pozitia 4), (Linia 456, Pozitia 17), (Linia 457, Pozitia 6), (Linia 457, Pozitia 11), (Linia 462, Pozitia 10), (Linia 463, Pozitia 10), (Linia 468, Pozitia 5), (Linia 475, Pozitia 5), (Linia 475, Pozitia 10), (Linia 480, Pozitia 6), (Linia 482, Pozitia 11), (Linia 483, Pozitia 16), (Linia 486, Pozitia 3), (Linia 486, Pozitia 7), (Linia 486, Pozitia 13), (Linia 488, Pozitia 14), (Linia 490, Pozitia 15), (Linia 490, Pozitia 19), (Linia 491, Pozitia 17), (Linia 493, Pozitia 9), (Linia 493, Pozitia 11), (Linia 496, Pozitia 5), (Linia 497, Pozitia 7), (Linia 497, Pozitia 14), (Linia 501, Pozitia 8), (Linia 503, Pozitia 10), (Linia 510, Pozitia 3), (Linia 510, Pozitia 10), (Linia 516, Pozitia 8), (Linia 516, Pozitia 15), (Linia 517, Pozitia 3), (Linia 517, Pozitia 15), (Linia 520, Pozitia 11), (Linia 523, Pozitia 6), (Linia 524, Pozitia 5), (Linia 535, Pozitia 10), (Linia 542, Pozitia 10), (Linia 543, Pozitia 4), (Linia 551, Pozitia 7), (Linia 563, Pozitia 18), (Linia 572, Pozitia 2), (Linia 587, Pozitia 6), (Linia 588, Pozitia 7), (Linia 590, Pozitia 7), (Linia 595, Pozitia 4), (Linia 597, Pozitia 11), (Linia 598, Pozitia 5), (Linia 615, Pozitia 18), (Linia 616, Pozitia 7), (Linia 616, Pozitia 19), (Linia 619, Pozitia 10), (Linia 623, Pozitia 2), (Linia 625, Pozitia 9), (Linia 629, Pozitia 6), (Linia 635, Pozitia 3), (Linia 640, Pozitia 4), (Linia 644, Pozitia 14), (Linia 645, Pozitia 1), (Linia 647, Pozitia 17), (Linia 657, Pozitia 16), (Linia 659, Pozitia 5), (Linia 660, Pozitia 8), (Linia 664, Pozitia 17), (Linia 665, Pozitia 2), (Linia 665, Pozitia 10), (Linia 673, Pozitia 11), (Linia 675, Pozitia 7), (Linia 678, Pozitia 8), (Linia 702, Pozitia 6), (Linia 704, Pozitia 8), (Linia 716, Pozitia 11), (Linia 717, Pozitia 13), (Linia 720, Pozitia 12), (Linia 723, Pozitia 8), (Linia 740, Pozitia 4), (Linia 746, Pozitia 15), (Linia 749, Pozitia 6), (Linia 759, Pozitia 5), (Linia 763, Pozitia 12), (Linia 772, Pozitia 4), (Linia 773, Pozitia 17), (Linia 779, Pozitia 10), (Linia 782, Pozitia 11), (Linia 791, Pozitia 13), (Linia 807, Pozitia 7), (Linia 824, Pozitia 3), (Linia 830, Pozitia 6), (Linia 831, Pozitia 9), (Linia 844, Pozitia 15), (Linia 854, Pozitia 8), (Linia 855, Pozitia 3), (Linia 855, Pozitia 5), (Linia 855, Pozitia 13), (Linia 855, Pozitia 15), (Linia 856, Pozitia 2), (Linia 857, Pozitia 4), (Linia 880, Pozitia 12), (Linia 881, Pozitia 20), (Linia 884, Pozitia 3), (Linia 895, Pozitia 5), (Linia 906, Pozitia 16), (Linia 907, Pozitia 4), (Linia 908, Pozitia 17), (Linia 916, Pozitia 6), (Linia 917, Pozitia 14), (Linia 920, Pozitia 4), (Linia 930, Pozitia 1), (Linia 932, Pozitia 4), (Linia 938, Pozitia 3), (Linia 938, Pozitia 6), (Linia 939, Pozitia 5), (Linia 949, Pozitia 3), (Linia 950, Pozitia 4), (Linia 953, Pozitia 7), (Linia 954, Pozitia 6), (Linia 954, Pozitia 15), (Linia 957, Pozitia 15), (Linia 960, Pozitia 13), (Linia 966, Pozitia 6), (Linia 966, Pozitia 10), (Linia 986, Pozitia 8), (Linia 992, Pozitia 11), (Linia 995, Pozitia 17), (Linia 997, Pozitia 4), (Linia 998, Pozitia 8), (Linia 1003, Pozitia 4), (Linia 1005, Pozitia 3), (Linia 1005, Pozitia 11), (Linia 1005, Pozitia 17), (Linia 1011, Pozitia 10), (Linia 1013, Pozitia 15), (Linia 1028, Pozitia 4), (Linia 1032, Pozitia 4), (Linia 1036, Pozitia 2), (Linia 1036, Pozitia 4), (Linia 1036, Pozitia 12), (Linia 1038, Pozitia 12), (Linia 1040, Pozitia 9), (Linia 1041, Pozitia 9), (Linia 1043, Pozitia 4), (Linia 1053, Pozitia 5), (Linia 1058, Pozitia 6), (Linia 1060, Pozitia 7), (Linia 1062, Pozitia 14), (Linia 1064, Pozitia 5), (Linia 1089, Pozitia 9), (Linia 1091, Pozitia 15), (Linia 1099, Pozitia 2), (Linia 1101, Pozitia 14), (Linia 1110, Pozitia 3), (Linia 1110, Pozitia 8), (Linia 1110, Pozitia 11), (Linia 1123, Pozitia 18), (Linia 1129, Pozitia 7), (Linia 1130, Pozitia 6), (Linia 1132, Pozitia 5), (Linia 1134, Pozitia 17), (Linia 1150, Pozitia 5), (Linia 1150, Pozitia 17), (Linia 1161, Pozitia 6), (Linia 1162, Pozitia 4), (Linia 1168, Pozitia 20), (Linia 1171, Pozitia 10), (Linia 1174, Pozitia 14), (Linia 1175, Pozitia 22), (Linia 1178, Pozitia 8), (Linia 1190, Pozitia 14), (Linia 1191, Pozitia 11), (Linia 1192, Pozitia 14), (Linia 1193, Pozitia 9), (Linia 1196, Pozitia 20), (Linia 1211, Pozitia 12), (Linia 1223, Pozitia 8), (Linia 1232, Pozitia 7), (Linia 1242, Pozitia 7), (Linia 1242, Pozitia 18), (Linia 1245, Pozitia 1), (Linia 1246, Pozitia 7), (Linia 1248, Pozitia 2), (Linia 1248, Pozitia 12), (Linia 1250, Pozitia 4), (Linia 1253, Pozitia 4), (Linia 1263, Pozitia 15), (Linia 1263, Pozitia 18), (Linia 1265, Pozitia 6), (Linia 1265, Pozitia 15), (Linia 1266, Pozitia 9), (Linia 1267, Pozitia 10), (Linia 1269, Pozitia 3)"
today,"(Linia 1145, Pozitia 3)"
together,"(Linia 653, Pozitia 17)"
toilet,"(Linia 228, Pozitia 2), (Linia 228, Pozitia 8)"
tomba,"(Linia 1239, Pozitia 2)"
told,"(Linia 160, Pozitia 4), (Linia 227, Pozitia 10), (Linia 531, Pozitia 7), (Linia 545, Pozitia 8), (Linia 840, Pozitia 8), (Linia 852, Pozitia 9), (Linia 1143, Pozitia 4), (Linia 1241, Pozitia 13)"
tolerate,"(Linia 433, Pozitia 1), (Linia 451, Pozitia 13)"
tomorrow,"(Linia 1094, Pozitia 8)"
tombe,"(Linia 1239, Pozitia 5)"
tomorrow,"(Linia 1111, Pozitia 3)"
tone,"(Linia 236, Pozitia 20)"
tonight,"(Linia 1124, Pozitia 5), (Linia 1158, Pozitia 5)"
too,"(Linia 72, Pozitia 5), (Linia 93, Pozitia 4), (Linia 110, Pozitia 8), (Linia 119, Pozitia 3), (Linia 188, Pozitia 13), (Linia 188, Pozitia 18), (Linia 224, Pozitia 2), (Linia 225, Pozitia 11), (Linia 225, Pozitia 18), (Linia 257, Pozitia 5), (Linia 273, Pozitia 14), (Linia 343, Pozitia 9), (Linia 376, Pozitia 15), (Linia 386, Pozitia 8), (Linia 676, Pozitia 17), (Linia 702, Pozitia 4), (Linia 708, Pozitia 7), (Linia 716, Pozitia 4), (Linia 811, Pozitia 1), (Linia 856, Pozitia 5), (Linia 878, Pozitia 2), (Linia 922, Pozitia 2), (Linia 1010, Pozitia 3), (Linia 1016, Pozitia 5), (Linia 1059, Pozitia 8), (Linia 1087, Pozitia 17), (Linia 1145, Pozitia 2), (Linia 1174, Pozitia 10), (Linia 1217, Pozitia 6), (Linia 1217, Pozitia 15), (Linia 1222, Pozitia 7), (Linia 1227, Pozitia 5)"
understand,"(Linia 9, Pozitia 3)"
translation,"(Linia 4, Pozitia 2)"
top,"(Linia 210, Pozitia 6)"
took,"(Linia 214, Pozitia 12), (Linia 318, Pozitia 12), (Linia 380, Pozitia 5), (Linia 499, Pozitia 16), (Linia 1035, Pozitia 8), (Linia 1082, Pozitia 2), (Linia 1132, Pozitia 11), (Linia 1213, Pozitia 3), (Linia 1235, Pozitia 11)"
tools,"(Linia 317, Pozitia 2)"
touched,"(Linia 1035, Pozitia 19)"
tormented,"(Linia 348, Pozitia 5), (Linia 1213, Pozitia 12)"
touch,"(Linia 807, Pozitia 4)"
touched,"(Linia 1055, Pozitia 3)"
towards,"(Linia 174, Pozitia 5)"
toward,"(Linia 103, Pozitia 5), (Linia 219, Pozitia 11), (Linia 1131, Pozitia 1)"
towards,"(Linia 471, Pozitia 7)"
trade,"(Linia 643, Pozitia 6)"
towards,"(Linia 993, Pozitia 1), (Linia 999, Pozitia 3), (Linia 1121, Pozitia 5)"
towardstowardsit,"(Linia 471, Pozitia 2)"
trace,"(Linia 1123, Pozitia 10)"
tragedy,"(Linia 457, Pozitia 19), (Linia 647, Pozitia 12)"
trains,"(Linia 966, Pozitia 1)"
tried,"(Linia 243, Pozitia 6)"
treasure,"(Linia 125, Pozitia 9)"
travel,"(Linia 232, Pozitia 11), (Linia 804, Pozitia 17), (Linia 1181, Pozitia 13), (Linia 1265, Pozitia 14)"
traveled,"(Linia 684, Pozitia 16)"
travelers,"(Linia 965, Pozitia 5), (Linia 976, Pozitia 6)"
trees,"(Linia 206, Pozitia 10)"
treasure,"(Linia 1029, Pozitia 15), (Linia 1036, Pozitia 8)"
treat,"(Linia 171, Pozitia 8), (Linia 855, Pozitia 16)"
tree,"(Linia 1067, Pozitia 6), (Linia 1237, Pozitia 11)"
trees,"(Linia 206, Pozitia 15)"
tremble,"(Linia 967, Pozitia 13)"
trembled,"(Linia 1038, Pozitia 5)"
trembling,"(Linia 1061, Pozitia 9)"
trick,"(Linia 1194, Pozitia 13)"
tricks,"(Linia 376, Pozitia 6)"
turn,"(Linia 22, Pozitia 14)"
true,"(Linia 123, Pozitia 2), (Linia 179, Pozitia 4), (Linia 200, Pozitia 3), (Linia 201, Pozitia 5)"
trip,"(Linia 425, Pozitia 16), (Linia 545, Pozitia 12)"
trouble,"(Linia 305, Pozitia 17), (Linia 387, Pozitia 7), (Linia 495, Pozitia 11), (Linia 1077, Pozitia 10), (Linia 1214, Pozitia 7)"
truth,"(Linia 958, Pozitia 5)"
true,"(Linia 487, Pozitia 7), (Linia 600, Pozitia 3), (Linia 1025, Pozitia 4), (Linia 1209, Pozitia 2), (Linia 1214, Pozitia 21)"
trust,"(Linia 781, Pozitia 3)"
try,"(Linia 50, Pozitia 7), (Linia 181, Pozitia 14), (Linia 186, Pozitia 4), (Linia 305, Pozitia 8)"
trying,"(Linia 273, Pozitia 10)"
twig,"(Linia 220, Pozitia 3), (Linia 220, Pozitia 8), (Linia 328, Pozitia 12)"
turns,"(Linia 628, Pozitia 15)"
turn,"(Linia 551, Pozitia 8), (Linia 632, Pozitia 7), (Linia 650, Pozitia 8), (Linia 650, Pozitia 17), (Linia 762, Pozitia 11), (Linia 765, Pozitia 5), (Linia 1047, Pozitia 7)"
turned,"(Linia 637, Pozitia 6), (Linia 648, Pozitia 3), (Linia 864, Pozitia 9)"
twentyfour,"(Linia 679, Pozitia 13)"
twelve,"(Linia 550, Pozitia 10)"
twenty,"(Linia 776, Pozitia 6), (Linia 776, Pozitia 10), (Linia 1125, Pozitia 3)"
twentytwo,"(Linia 552, Pozitia 11), (Linia 561, Pozitia 7), (Linia 576, Pozitia 10)"
twice,"(Linia 769, Pozitia 15)"
two,"(Linia 78, Pozitia 17)"
twigs,"(Linia 329, Pozitia 4)"
twilight,"(Linia 258, Pozitia 12)"
un,"(Linia 1239, Pozitia 6)"
two,"(Linia 362, Pozitia 8), (Linia 382, Pozitia 4), (Linia 405, Pozitia 4), (Linia 453, Pozitia 14), (Linia 550, Pozitia 4), (Linia 677, Pozitia 6), (Linia 710, Pozitia 10), (Linia 757, Pozitia 4), (Linia 774, Pozitia 14), (Linia 948, Pozitia 7)"
ugly,"(Linia 292, Pozitia 7)"
under,"(Linia 4, Pozitia 10), (Linia 158, Pozitia 2), (Linia 358, Pozitia 8), (Linia 391, Pozitia 5), (Linia 865, Pozitia 7), (Linia 946, Pozitia 19), (Linia 1023, Pozitia 14), (Linia 1065, Pozitia 14), (Linia 1251, Pozitia 1), (Linia 1267, Pozitia 3)"
underground,"(Linia 899, Pozitia 4)"
war,"(Linia 306, Pozitia 13)"
upon,"(Linia 177, Pozitia 2)"
understood,"(Linia 246, Pozitia 6)"
understand,"(Linia 28, Pozitia 12), (Linia 34, Pozitia 1), (Linia 107, Pozitia 8), (Linia 175, Pozitia 6), (Linia 178, Pozitia 11), (Linia 203, Pozitia 4), (Linia 215, Pozitia 3), (Linia 305, Pozitia 10), (Linia 374, Pozitia 4), (Linia 398, Pozitia 7), (Linia 512, Pozitia 12), (Linia 639, Pozitia 4), (Linia 640, Pozitia 5), (Linia 884, Pozitia 4), (Linia 937, Pozitia 9), (Linia 1004, Pozitia 4), (Linia 1019, Pozitia 4), (Linia 1028, Pozitia 6), (Linia 1128, Pozitia 11), (Linia 1217, Pozitia 3), (Linia 1261, Pozitia 7)"
understanding,"(Linia 43, Pozitia 1), (Linia 1098, Pozitia 4)"
unimportant,"(Linia 368, Pozitia 2)"
understood,"(Linia 566, Pozitia 3), (Linia 812, Pozitia 5), (Linia 1063, Pozitia 3)"
undone,"(Linia 1137, Pozitia 3)"
unfortunately,"(Linia 192, Pozitia 2)"
unhappy,"(Linia 368, Pozitia 9), (Linia 852, Pozitia 5)"
universe,"(Linia 853, Pozitia 2)"
unique,"(Linia 308, Pozitia 7), (Linia 883, Pozitia 1), (Linia 883, Pozitia 12), (Linia 937, Pozitia 13), (Linia 942, Pozitia 13)"
universal,"(Linia 449, Pozitia 13)"
universe,"(Linia 1257, Pozitia 1)"
until,"(Linia 48, Pozitia 11)"
unjust,"(Linia 1089, Pozitia 3)"
unscrew,"(Linia 273, Pozitia 12)"
until,"(Linia 218, Pozitia 10), (Linia 252, Pozitia 3)"
up,"(Linia 40, Pozitia 7), (Linia 54, Pozitia 13), (Linia 132, Pozitia 19), (Linia 219, Pozitia 1), (Linia 284, Pozitia 20), (Linia 338, Pozitia 5), (Linia 382, Pozitia 14), (Linia 543, Pozitia 12), (Linia 737, Pozitia 7), (Linia 741, Pozitia 14), (Linia 775, Pozitia 6), (Linia 924, Pozitia 17), (Linia 1060, Pozitia 6), (Linia 1116, Pozitia 11), (Linia 1235, Pozitia 9)"
voice,"(Linia 54, Pozitia 10)"
useful,"(Linia 38, Pozitia 6)"
upset,"(Linia 854, Pozitia 5)"
urgency,"(Linia 244, Pozitia 6)"
us,"(Linia 387, Pozitia 3), (Linia 739, Pozitia 11), (Linia 740, Pozitia 5), (Linia 793, Pozitia 9)"
use,"(Linia 586, Pozitia 5)"
used,"(Linia 276, Pozitia 5), (Linia 306, Pozitia 6), (Linia 624, Pozitia 9), (Linia 830, Pozitia 11)"
vain,"(Linia 521, Pozitia 3)"
useful,"(Linia 615, Pozitia 17), (Linia 616, Pozitia 6), (Linia 616, Pozitia 18), (Linia 629, Pozitia 17)"
useless,"(Linia 279, Pozitia 3), (Linia 781, Pozitia 1), (Linia 900, Pozitia 18)"
vasion,"(Linia 379, Pozitia 7)"
vain,"(Linia 626, Pozitia 15), (Linia 672, Pozitia 10), (Linia 757, Pozitia 2)"
vanity,"(Linia 348, Pozitia 11), (Linia 506, Pozitia 12)"
very,"(Linia 23, Pozitia 6)"
venom,"(Linia 1127, Pozitia 4), (Linia 1209, Pozitia 7)"
vertically,"(Linia 1150, Pozitia 11)"
virgin,"(Linia 17, Pozitia 18), (Linia 44, Pozitia 4)"
